"Selected Geographies","Total","Male","Female"
" -> Total","309349689","152055442","157294247"
"Alabama","4785298","2323385","2461913"
"Alaska","713985","372080","341905"
"Arizona","6413737","3188165","3225572"
"Arkansas","2921606","1431253","1490353"
"California","37349363","18566924","18782439"
"Colorado","5049071","2534478","2514593"
"Connecticut","3577073","1732193","1844880"
"Delaware","899769","435727","464042"
"District of Columbia","604453","285147","319306"
"Florida","18843326","9210758","9632568"
"Georgia","9712587","4742690","4969897"
"Hawaii","1363621","683618","680003"
"Idaho","1571450","788698","782752"
"Illinois","12843166","6298936","6544230"
"Indiana","6490621","3197594","3293027"
"Iowa","3049883","1505682","1544201"
"Kansas","2859169","1413325","1445844"
"Kentucky","4346266","2139186","2207080"
"Louisiana","4544228","2226234","2317994"
"Maine","1327567","647657","679910"
"Maryland","5785982","2802225","2983757"
"Massachusetts","6557254","3174399","3382855"
"Michigan","9877574","4847509","5030065"
"Minnesota","5310584","2637790","2672794"
"Mississippi","2970036","1440688","1529348"
"Missouri","5996231","2932031","3064200"
"Montana","990898","499898","491000"
"Nebraska","1830429","908471","921958"
"Nevada","2704642","1365592","1339050"
"New Hampshire","1316759","648318","668441"
"New Jersey","8801624","4282483","4519141"
"New Mexico","2065932","1019091","1046841"
"New York","19392283","9384182","10008101"
"North Carolina","9561558","4656342","4905216"
"North Dakota","674499","343315","331184"
"Ohio","11536182","5632563","5903619"
"Oklahoma","3761702","1854702","1907000"
"Oregon","3838957","1903625","1935332"
"Pennsylvania","12709630","6181218","6528412"
"Rhode Island","1052886","509121","543765"
"South Carolina","4636312","2251172","2385140"
"South Dakota","816463","410049","406414"
"Tennessee","6356897","3092151","3264746"
"Texas","25257114","12524157","12732957"
"Utah","2776469","1396577","1379892"
"Vermont","625960","308246","317714"
"Virginia","8024617","3942698","4081919"
"Washington","6744496","3359249","3385247"
"West Virginia","1853973","912658","941315"
"Wisconsin","5691047","2824484","2866563"
"Wyoming","564460","286708","277752"
