"Selected Geographies","Total","Male","Female"
" -> Total","323127515","159060860","164066655"
"Alabama","4863300","2360498","2502802"
"Alaska","741894","390199","351695"
"Arizona","6931071","3445094","3485977"
"Arkansas","2988248","1470739","1517509"
"California","39250017","19497412","19752605"
"Colorado","5540545","2790068","2750477"
"Connecticut","3576452","1745910","1830542"
"Delaware","952065","458594","493471"
"District of Columbia","681170","323160","358010"
"Florida","20612439","10072621","10539818"
"Georgia","10310371","5014850","5295521"
"Hawaii","1428557","719511","709046"
"Idaho","1683140","838762","844378"
"Illinois","12801539","6284067","6517472"
"Indiana","6633053","3262640","3370413"
"Iowa","3134693","1556308","1578385"
"Kansas","2907289","1448028","1459261"
"Kentucky","4436974","2179554","2257420"
"Louisiana","4681666","2291460","2390206"
"Maine","1331479","649456","682023"
"Maryland","6016447","2909870","3106577"
"Massachusetts","6811885","3309730","3502155"
"Michigan","9928300","4880303","5047997"
"Minnesota","5519952","2743121","2776831"
"Mississippi","2988726","1439765","1548961"
"Missouri","6093000","2999650","3093350"
"Montana","1042520","524227","518293"
"Nebraska","1907116","950143","956973"
"Nevada","2940058","1474295","1465763"
"New Hampshire","1334689","667334","667355"
"New Jersey","8944469","4368680","4575789"
"New Mexico","2081015","1028641","1052374"
"New York","19745289","9592192","10153097"
"North Carolina","10146788","4932199","5214589"
"North Dakota","757953","390642","367311"
"Ohio","11614373","5697591","5916782"
"Oklahoma","3923561","1944756","1978805"
"Oregon","4093465","2032558","2060907"
"Pennsylvania","12784227","6259953","6524274"
"Rhode Island","1056426","510780","545646"
"South Carolina","4961119","2406185","2554934"
"South Dakota","865454","435923","429531"
"Tennessee","6651194","3243960","3407234"
"Texas","27862596","13832319","14030277"
"Utah","3051217","1539485","1511732"
"Vermont","624594","308172","316422"
"Virginia","8411808","4136015","4275793"
"Washington","7288000","3636099","3651901"
"West Virginia","1831102","905297","925805"
"Wisconsin","5778709","2865240","2913469"
"Wyoming","585501","296804","288697"
